Product_Category,RMSE,R²
Electronics,2.84,0.08
Home & Garden,2.9,0.08
Sports,3.05,0.08
Fashion,2.67,0.1
Toys,3.02,0.08
Beauty,2.71,0.07
Food,2.8,0.1
Books,2.68,0.14
